symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600000,600000,浦发银行,10.08,-0.05,-0.494,10.08,10.09,10.13,10.15,10.18,10.06,16086766,162777485,10:49:21,9.421,0.46,29586995.728416,29586995.728416,0.054810000000000005
sh600004,600004,白云机场,9.07,-0.05,-0.548,9.07,9.08,9.12,9.09,9.1,9.05,6765400,61370592,10:49:21,47.737,1.187,2146613.482681,2146613.482681,0.28586
sh600006,600006,东风股份,7.46,0.01,0.134,7.45,7.46,7.45,7.44,7.47,7.34,15748102,116484388,10:49:20,74.6,1.834,1492000.0,1492000.0,0.78741
sh600007,600007,中国国贸,23.76,-0.14,-0.586,23.75,23.76,23.9,23.82,24.02,23.62,856451,20416235,10:49:21,19.008,2.544,2393303.300784,2393303.300784,0.08503000000000001
sh600008,600008,首创环保,3.08,0.01,0.326,3.07,3.08,3.07,3.06,3.08,3.05,27697805,84956436,10:49:21,14.077,1.053,2260901.928516,2260901.928516,0.37732000000000004
sh600009,600009,上海机场,32.26,-0.09,-0.278,32.26,32.28,32.35,32.29,32.33,32.13,3877261,124849975,10:49:19,84.895,1.9689999999999999,8027840.80284,6189713.128248,0.20208
sh600010,600010,包钢股份,1.86,0.02,1.087,1.86,1.87,1.84,1.84,1.88,1.83,262397117,486962649,10:49:20,164.602,1.6400000000000001,8423683.198728,5836828.481382,0.8361700000000001
sh600011,600011,华能国际,6.68,0.04,0.602,6.67,6.68,6.64,6.62,6.7,6.6,20045309,133394625,10:49:21,19.086,1.804,10486326.363812,7346470.225892,0.18227000000000002
sh600012,600012,皖通高速,16.19,-0.28,-1.7000000000000002,16.19,16.2,16.47,16.4,16.43,16.17,1716362,27950502,10:49:20,16.177,2.085,2685289.59,1887106.4,0.14725000000000002
sh600015,600015,华夏银行,7.18,-0.04,-0.554,7.18,7.19,7.22,7.21,7.24,7.18,22087665,159238337,10:49:19,4.851,0.392,11426918.640024,11048026.819794,0.14355
sh600016,600016,民生银行,4.14,0.0,0.0,4.13,4.14,4.14,4.14,4.16,4.13,53791037,222887474,10:49:18,5.75,0.331,18125921.259828,14681319.010182,0.15169000000000002
sh600017,600017,日照港,2.99,0.01,0.336,2.99,3.0,2.98,2.98,3.01,2.97,16390551,49056954,10:49:20,14.238,0.668,919620.512512,919620.512512,0.53291
sh600018,600018,上港集团,5.57,0.01,0.18,5.56,5.57,5.56,5.55,5.57,5.53,11088224,61541609,10:49:18,9.787,0.991,12967720.450934,12930519.808978,0.047760000000000004
sh600019,600019,宝钢股份,7.48,0.11,1.4929999999999999,7.47,7.48,7.37,7.36,7.52,7.35,61084492,455981702,10:49:20,13.852,0.8230000000000001,16387665.711252,16292999.392252,0.28043
sh600020,600020,中原高速,4.05,0.05,1.25,4.04,4.05,4.0,3.99,4.09,3.98,12881787,52280921,10:49:18,12.752,0.799,910185.59196,910185.59196,0.5731900000000001
sh600021,600021,上海电力,8.82,0.01,0.114,8.81,8.82,8.81,8.83,8.85,8.76,10810125,95198026,10:49:20,17.804,1.2429999999999999,2484367.89489,2308338.821754,0.41305000000000003
sh600022,600022,山东钢铁,1.42,0.02,1.429,1.41,1.42,1.4,1.4,1.43,1.39,53446824,75386708,10:49:20,-38.07,0.775,1519236.636668,1519236.636668,0.49956000000000006
sh600023,600023,浙能电力,5.41,-0.04,-0.734,5.4,5.41,5.45,5.44,5.44,5.4,23428792,126876252,10:49:18,11.041,1.007,7254124.417209,7254124.417209,0.17473000000000002
sh600025,600025,华能水电,8.67,0.06,0.6970000000000001,8.67,8.68,8.61,8.61,8.68,8.56,10715570,92522026,10:49:21,21.675,2.691,15606000.0,15606000.0,0.059530000000000007
sh600026,600026,中远海能,11.41,0.19,1.693,11.41,11.42,11.22,11.18,11.49,11.15,31435890,357610292,10:49:18,16.247,1.513,5443455.866695,3964719.866695,0.9046900000000001
sh600027,600027,华电国际,5.33,-0.02,-0.374,5.32,5.33,5.35,5.33,5.35,5.23,33148200,175286880,10:49:21,15.229,1.307,5451290.083889,4536004.575089,0.38951
sh600028,600028,中国石化,5.73,0.04,0.7030000000000001,5.73,5.74,5.69,5.69,5.76,5.68,71367857,409041787,10:49:19,11.347,0.848,69494331.414954,54344365.639623,0.07525000000000001
sh600029,600029,南方航空,6.05,-0.01,-0.165,6.04,6.05,6.06,6.02,6.06,5.98,22316036,134535446,10:49:21,-26.304,2.835,10963152.04798,7667372.9627,0.17609000000000002
sh600030,600030,中信证券,27.76,-0.24,-0.857,27.76,27.77,28.0,27.8,27.89,27.62,41278604,1144930475,10:49:21,21.354,1.5779999999999998,41141837.997304,33802105.503824,0.339
sh600031,600031,三一重工,19.8,0.14,0.712,19.8,19.81,19.66,19.64,19.96,19.41,45625361,901332330,10:49:19,37.03,2.366,16780456.51326,16759147.35726,0.5390400000000001
sh600032,600032,浙江新能,7.36,-0.03,-0.406,7.35,7.36,7.39,7.39,7.41,7.3,2884224,21135152,10:49:16,26.95,1.419,1769841.038464,1769841.038464,0.11994
sh600033,600033,福建高速,3.69,0.0,0.0,3.69,3.7,3.69,3.69,3.72,3.68,9921839,36720229,10:49:18,11.223,0.864,1012683.6,1012683.6,0.36153
sh600035,600035,楚天高速,4.22,0.02,0.47600000000000003,4.22,4.23,4.2,4.21,4.24,4.19,4470806,18850442,10:49:16,7.153,0.795,679468.910222,679468.910222,0.27767000000000003
